IP,Set_Num,Longitude,Latitude
213.144.170.59,-1,12.1097,43.1479
213.144.173.171,-1,12.1097,43.1479
213.144.176.168,-1,12.1097,43.1479
213.200.118.206,-1,9.491,51.2993
213.249.105.134,-1,-3.7016,40.4143
217.15.112.20,-1,31.0478,-17.815
4.68.127.233,-1,-97.822,37.751
4.69.141.230,-1,-97.822,37.751
4.69.162.225,-1,-97.822,37.751
4.69.167.114,-1,-97.822,37.751
4.69.167.118,-1,-97.822,37.751
41.100.0.1,-1,0.15,34.8333
41.103.160.1,-1,3.1468,36.7642
41.105.0.1,-1,3.1468,36.7642
41.140.16.1,-1,-6.8484,34.0123
41.140.192.1,-1,-6.8484,34.0123
41.140.216.1,-1,-6.8484,34.0123
41.140.224.1,-1,-6.8484,34.0123
41.140.56.1,-1,-5.371,33.6879
41.143.0.1,-1,-7.6184,33.5922
41.143.72.1,-1,-9.5912,30.4201
41.175.159.11,-1,57.55,-20.2833
41.175.242.109,-1,28.2806,-24.8787
41.175.242.16,-1,28.2806,-24.8787
41.175.43.72,-1,57.55,-20.2833
41.181.189.65,-1,24.0,-29.0
41.181.189.67,-1,24.0,-29.0
41.181.189.69,-1,24.0,-29.0
41.181.189.75,-1,24.0,-29.0
41.181.190.150,-1,24.0,-29.0
41.181.190.198,-1,24.0,-29.0
41.181.245.179,-1,24.0,-29.0
41.181.245.188,-1,24.0,-29.0
41.181.245.251,-1,24.0,-29.0
41.188.172.97,-1,39.291,-6.8227
41.191.201.145,-1,28.5,-29.5
41.193.164.85,-1,28.0583,-26.2309
41.200.192.1,-1,8.0447,36.1694
41.21.232.182,-1,31.0191,-29.8523
41.212.2.42,-1,36.8155,-1.2841
41.212.66.1,-1,39.2847,-6.7963
41.223.224.5,-1,30.0663,-1.9507
41.223.57.201,-1,36.8155,-1.2841
41.223.57.202,-1,36.8155,-1.2841
41.223.57.205,-1,36.8155,-1.2841
41.223.57.206,-1,36.8155,-1.2841
41.226.16.230,-1,10.1778,36.8049
41.226.16.231,-1,10.1778,36.8049
41.226.16.234,-1,10.1778,36.8049
41.226.21.226,-1,10.1778,36.8049
41.226.21.227,-1,10.1778,36.8049
41.226.21.228,-1,10.1778,36.8049
41.226.22.18,-1,10.1778,36.8049
41.226.22.8,-1,10.1778,36.8049
41.231.104.1,-1,9.0,34.0
41.232.112.1,-1,31.2852,30.0778
41.236.107.65,-1,31.2194,30.008
41.236.112.1,-1,31.3844,31.0371
41.236.113.65,-1,31.3844,31.0371
41.236.114.129,-1,31.3844,31.0371
41.236.118.129,-1,31.3844,31.0371
41.236.99.193,-1,31.2852,30.0778
41.250.128.1,-1,-7.6184,33.5922
41.250.224.1,-1,-5.8176,35.7808
41.251.128.1,-1,-8.0101,31.6298
41.251.16.1,-1,-7.6184,33.5922
41.60.135.94,-1,29.0167,-24.1833
41.66.181.201,-1,28.0583,-26.2309
41.79.214.50,-1,31.0191,-29.8523
41.96.0.1,-1,0.0903,35.9333
46.17.232.105,-1,30.0,-20.0
46.17.232.26,-1,30.0,-20.0
46.17.233.10,-1,30.0,-20.0
46.33.92.153,-1,9.491,51.2993
5.11.10.89,-1,-0.1224,51.4964
5.11.10.93,-1,-0.1224,51.4964
5.11.9.125,-1,-0.1224,51.4964
5.11.9.127,-1,-0.1224,51.4964
62.216.128.214,-1,-0.1224,51.4964
62.216.131.149,-1,-0.1224,51.4964
62.68.47.157,-1,17.0,25.0
62.68.47.158,-1,17.0,25.0
62.68.47.250,-1,17.0,25.0
69.63.64.65,-1,31.1333,-26.3167
69.63.64.75,-1,31.1333,-26.3167
69.63.64.79,-1,31.1333,-26.3167
69.63.76.65,-1,31.1333,-26.3167
69.63.76.81,-1,31.1333,-26.3167
72.52.92.213,-1,-97.822,37.751
77.246.59.10,-1,24.0,-22.0
77.67.95.121,-1,9.491,51.2993
80.81.68.125,-1,-3.684,40.4172
81.10.87.161,-1,31.0978,29.0744
81.10.87.89,-1,31.0978,29.0744
81.192.12.14,-1,-6.5821,34.2619
81.192.12.18,-1,-6.5821,34.2619
81.192.12.22,-1,-6.5821,34.2619
81.192.12.30,-1,-6.5821,34.2619
81.192.12.34,-1,-6.5821,34.2619
81.192.12.38,-1,-6.5821,34.2619
81.192.12.42,-1,-6.5821,34.2619
81.192.25.58,-1,-6.5821,34.2619
81.192.65.129,-1,-5.5396,33.8916
81.192.65.130,-1,-5.5396,33.8916
81.192.65.137,-1,-5.5396,33.8916
81.192.65.138,-1,-5.5396,33.8916
81.192.65.145,-1,-5.5396,33.8916
81.192.65.146,-1,-5.5396,33.8916
81.192.65.153,-1,-5.5396,33.8916
81.192.65.154,-1,-5.5396,33.8916
81.192.65.161,-1,-5.5396,33.8916
81.192.65.162,-1,-5.5396,33.8916
81.192.65.169,-1,-5.5396,33.8916
81.192.65.170,-1,-5.5396,33.8916
81.192.65.177,-1,-5.5396,33.8916
81.192.65.178,-1,-5.5396,33.8916
81.192.65.185,-1,-5.5396,33.8916
81.192.65.186,-1,-5.5396,33.8916
81.192.92.45,-1,-5.5396,33.8916
81.192.92.46,-1,-5.5396,33.8916
81.192.92.49,-1,-5.5396,33.8916
81.192.92.50,-1,-5.5396,33.8916
81.25.197.17,-1,2.3387,48.8582
81.25.197.18,-1,2.3387,48.8582
81.26.78.209,-1,18.4155,-33.9165
81.26.78.210,-1,18.4155,-33.9165
81.52.179.54,-1,2.3387,48.8582
81.52.186.188,-1,2.3387,48.8582
81.52.200.108,-1,2.3387,48.8582
81.52.200.112,-1,2.3387,48.8582
