Source_IP,Target_IP
193.95.0.14,193.95.1.155
193.95.1.155,195.22.197.50
195.22.197.50,195.22.218.59
195.22.218.59,195.22.197.65
195.22.197.65,197.215.149.235
197.215.149.235,197.215.157.14
197.215.157.14,62.68.47.250
62.68.47.250,62.68.47.158
62.68.47.158,62.68.47.158
196.70.24.1,81.192.65.162
81.192.65.162,81.192.65.161
81.192.65.161,81.192.12.30
81.192.12.30,149.11.18.165
149.11.18.165,130.117.1.98
130.117.1.98,149.6.144.162
149.6.144.162,185.10.164.37
185.10.164.37,185.35.140.165
185.35.140.165,196.216.220.167
196.216.220.167,197.215.100.161
197.215.100.161,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
160.179.8.1,81.192.65.186
81.192.65.186,81.192.65.185
81.192.65.185,81.192.12.42
81.192.12.42,149.11.19.89
149.11.19.89,130.117.1.22
130.117.1.22,149.6.144.162
149.6.144.162,185.10.164.37
185.10.164.37,185.35.140.165
185.35.140.165,196.216.220.167
196.216.220.167,197.215.100.161
197.215.100.161,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
41.140.16.1,81.192.65.138
81.192.65.138,81.192.65.129
81.192.65.129,81.192.12.14
81.192.12.14,149.11.19.109
149.11.19.109,130.117.1.98
130.117.1.98,149.6.144.162
149.6.144.162,185.35.140.34
185.35.140.34,185.35.142.97
185.35.142.97,196.216.221.55
196.216.221.55,196.216.220.167
196.216.220.167,197.215.100.161
197.215.100.161,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
105.157.48.1,81.192.65.162
81.192.65.162,81.192.65.161
81.192.65.161,81.192.12.30
81.192.12.30,149.11.18.165
149.11.18.165,130.117.1.98
130.117.1.98,149.6.144.162
149.6.144.162,185.35.140.34
185.35.140.34,185.35.142.97
41.143.72.1,81.192.65.186
81.192.65.186,81.192.65.185
81.192.65.185,81.192.12.42
81.192.12.42,149.11.19.225
149.11.19.225,130.117.1.98
130.117.1.98,149.6.144.162
149.6.144.162,185.35.140.34
185.35.140.34,185.35.142.97
185.35.142.97,196.216.221.55
196.216.221.55,196.216.220.167
196.216.220.167,197.215.100.161
197.215.100.161,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
197.215.100.194,197.215.100.194
196.89.40.1,81.192.92.46
81.192.92.46,81.192.92.49
81.192.92.49,81.192.12.42
81.192.12.42,149.11.19.169
149.11.19.169,130.117.1.98
130.117.1.98,185.10.164.37
